Country,Population,GDP
Afghanistan ,31056997,700.0
Albania ,3581655,4500.0
Algeria ,32930091,6000.0
American Samoa ,57794,8000.0
Andorra ,71201,19000.0
Angola ,12127071,1900.0
Anguilla ,13477,8600.0
Antigua & Barbuda ,69108,11000.0
Argentina ,39921833,11200.0
Armenia ,2976372,3500.0
Aruba ,71891,28000.0
Australia ,20264082,29000.0
Austria ,8192880,30000.0
Azerbaijan ,7961619,3400.0
"Bahamas, The ",303770,16700.0
Bahrain ,698585,16900.0
Bangladesh ,147365352,1900.0
Barbados ,279912,15700.0
Belarus ,10293011,6100.0
Belgium ,10379067,29100.0
Belize ,287730,4900.0
Benin ,7862944,1100.0
Bermuda ,65773,36000.0
Bhutan ,2279723,1300.0
Bolivia ,8989046,2400.0
Bosnia & Herzegovina ,4498976,6100.0
Botswana ,1639833,9000.0
Brazil ,188078227,7600.0
British Virgin Is. ,23098,16000.0
Brunei ,379444,18600.0
Bulgaria ,7385367,7600.0
Burkina Faso ,13902972,1100.0
Burma ,47382633,1800.0
Burundi ,8090068,600.0
Cambodia ,13881427,1900.0
Cameroon ,17340702,1800.0
Canada ,33098932,29800.0
Cape Verde ,420979,1400.0
Cayman Islands ,45436,35000.0
Central African Rep. ,4303356,1100.0
Chad ,9944201,1200.0
Chile ,16134219,9900.0
China ,1313973713,5000.0
Colombia ,43593035,6300.0
Comoros ,690948,700.0
"Congo, Dem. Rep. ",62660551,700.0
"Congo, Repub. of the ",3702314,700.0
Cook Islands ,21388,5000.0
Costa Rica ,4075261,9100.0
Cote d'Ivoire ,17654843,1400.0
Croatia ,4494749,10600.0
Cuba ,11382820,2900.0
Cyprus ,784301,19200.0
Czech Republic ,10235455,15700.0
Denmark ,5450661,31100.0
Djibouti ,486530,1300.0
Dominica ,68910,5400.0
Dominican Republic ,9183984,6000.0
East Timor ,1062777,500.0
Ecuador ,13547510,3300.0
Egypt ,78887007,4000.0
El Salvador ,6822378,4800.0
Equatorial Guinea ,540109,2700.0
Eritrea ,4786994,700.0
Estonia ,1324333,12300.0
Ethiopia ,74777981,700.0
Faroe Islands ,47246,22000.0
Fiji ,905949,5800.0
Finland ,5231372,27400.0
France ,60876136,27600.0
French Guiana ,199509,8300.0
French Polynesia ,274578,17500.0
Gabon ,1424906,5500.0
"Gambia, The ",1641564,1700.0
Gaza Strip ,1428757,600.0
Georgia ,4661473,2500.0
Germany ,82422299,27600.0
Ghana ,22409572,2200.0
Gibraltar ,27928,17500.0
Greece ,10688058,20000.0
Greenland ,56361,20000.0
Grenada ,89703,5000.0
Guadeloupe ,452776,8000.0
Guam ,171019,21000.0
Guatemala ,12293545,4100.0
Guernsey ,65409,20000.0
Guinea ,9690222,2100.0
Guinea-Bissau ,1442029,800.0
Guyana ,767245,4000.0
Haiti ,8308504,1600.0
Honduras ,7326496,2600.0
Hong Kong ,6940432,28800.0
Hungary ,9981334,13900.0
Iceland ,299388,30900.0
India ,1095351995,2900.0
Indonesia ,245452739,3200.0
Iran ,68688433,7000.0
Iraq ,26783383,1500.0
Ireland ,4062235,29600.0
Isle of Man ,75441,21000.0
Israel ,6352117,19800.0
Italy ,58133509,26700.0
Jamaica ,2758124,3900.0
Japan ,127463611,28200.0
Jersey ,91084,24800.0
Jordan ,5906760,4300.0
Kazakhstan ,15233244,6300.0
Kenya ,34707817,1000.0
Kiribati ,105432,800.0
"Korea, North ",23113019,1300.0
"Korea, South ",48846823,17800.0
Kuwait ,2418393,19000.0
Kyrgyzstan ,5213898,1600.0
Laos ,6368481,1700.0
Latvia ,2274735,10200.0
Lebanon ,3874050,4800.0
Lesotho ,2022331,3000.0
Liberia ,3042004,1000.0
Libya ,5900754,6400.0
Liechtenstein ,33987,25000.0
Lithuania ,3585906,11400.0
Luxembourg ,474413,55100.0
Macau ,453125,19400.0
Macedonia ,2050554,6700.0
Madagascar ,18595469,800.0
Malawi ,13013926,600.0
Malaysia ,24385858,9000.0
Maldives ,359008,3900.0
Mali ,11716829,900.0
Malta ,400214,17700.0
Marshall Islands ,60422,1600.0
Martinique ,436131,14400.0
Mauritania ,3177388,1800.0
Mauritius ,1240827,11400.0
Mayotte ,201234,2600.0
Mexico ,107449525,9000.0
"Micronesia, Fed. St. ",108004,2000.0
Moldova ,4466706,1800.0
Monaco ,32543,27000.0
Mongolia ,2832224,1800.0
Montserrat ,9439,3400.0
Morocco ,33241259,4000.0
Mozambique ,19686505,1200.0
Namibia ,2044147,7200.0
Nauru ,13287,5000.0
Nepal ,28287147,1400.0
Netherlands ,16491461,28600.0
Netherlands Antilles ,221736,11400.0
New Caledonia ,219246,15000.0
New Zealand ,4076140,21600.0
Nicaragua ,5570129,2300.0
Niger ,12525094,800.0
Nigeria ,131859731,900.0
N. Mariana Islands ,82459,12500.0
Norway ,4610820,37800.0
Oman ,3102229,13100.0
Pakistan ,165803560,2100.0
Palau ,20579,9000.0
Panama ,3191319,6300.0
Papua New Guinea ,5670544,2200.0
Paraguay ,6506464,4700.0
Peru ,28302603,5100.0
Philippines ,89468677,4600.0
Poland ,38536869,11100.0
Portugal ,10605870,18000.0
Puerto Rico ,3927188,16800.0
Qatar ,885359,21500.0
Reunion ,787584,5800.0
Romania ,22303552,7000.0
Russia ,142893540,8900.0
Rwanda ,8648248,1300.0
Saint Helena ,7502,2500.0
Saint Kitts & Nevis ,39129,8800.0
Saint Lucia ,168458,5400.0
St Pierre & Miquelon ,7026,6900.0
Saint Vincent and the Grenadines ,117848,2900.0
Samoa ,176908,5600.0
San Marino ,29251,34600.0
Sao Tome & Principe ,193413,1200.0
Saudi Arabia ,27019731,11800.0
Senegal ,11987121,1600.0
Serbia ,9396411,2200.0
Seychelles ,81541,7800.0
Sierra Leone ,6005250,500.0
Singapore ,4492150,23700.0
Slovakia ,5439448,13300.0
Slovenia ,2010347,19000.0
Solomon Islands ,552438,1700.0
Somalia ,8863338,500.0
South Africa ,44187637,10700.0
Spain ,40397842,22000.0
Sri Lanka ,20222240,3700.0
Sudan ,41236378,1900.0
Suriname ,439117,4000.0
Swaziland ,1136334,4900.0
Sweden ,9016596,26800.0
Switzerland ,7523934,32700.0
Syria ,18881361,3300.0
Taiwan ,23036087,23400.0
Tajikistan ,7320815,1000.0
Tanzania ,37445392,600.0
Thailand ,64631595,7400.0
